▼ Transcription of s-jozawa.mp3
[00:00 --> 00:02]: OK、これで始まりました。
[00:02 --> 00:04]: OKだね。
[00:04 --> 00:10]: じゃあですね、今回はこの箱を作ります。
[00:10 --> 00:16]: なので、この白い部分は3Dプリンターを使って、
[00:16 --> 00:23]: この箱の部分はこの板を使って、あっちのレーザーカッターで切ってやります。
[00:23 --> 00:30]: じゃあまず、3Dプリンターの方から切ります。
[00:33 --> 00:35]: 時間がかかるのはこっちの方なんですよ。
[00:35 --> 00:40]: 3Dプリンターで印刷するときに50分くらいかかるので、先にこっちをやっておいて、
[00:40 --> 00:42]: その間にあっちを。
[00:42 --> 00:50]: はい。3Dプリンターのやり方は、ここを見れば書いてます、一応。
[00:50 --> 00:52]: なので、ちょっと自分でこれを見ながら。
[00:53 --> 00:55]: あ、わかりました。
[00:55 --> 00:56]: データをここに入れます。
[00:56 --> 00:58]: 西野さんの説明とかは特にいらない?
[00:58 --> 01:01]: ないです。ここに書いてるのを見ながら切って。
[01:01 --> 01:04]: あ、わかりました。これ自分でやってみてってことね。
[01:04 --> 01:06]: はい。
[01:11 --> 01:13]: PCに移します。
[01:20 --> 01:22]: これ電源どこだ?
[01:23 --> 01:26]: 電源。
[01:26 --> 01:28]: 電源。あ、これか。
[01:28 --> 01:29]: 違う。
[01:29 --> 01:31]: あれ、違う。
[01:31 --> 01:32]: ここです。
[01:32 --> 01:33]: ちょっとおかしい。
[01:33 --> 01:34]: 恥ずかしい。
[01:34 --> 01:36]: いや、全然。
[01:36 --> 01:46]: これは、この間先に、本来こうです。
[01:46 --> 01:50]: 先にプリンターの起動っていうか、電源入れておきましょう。
[01:50 --> 01:51]: はい。
[01:51 --> 01:52]: これを入れてほしいです。
[01:52 --> 01:53]: はい。
[01:53 --> 01:54]: 電源を前に。
[01:54 --> 01:55]: 電源を入れます。
[01:56 --> 02:00]: 電源スイッチ。電源スイッチ。
[02:04 --> 02:05]: これ入ってるよ、ちょっと。
[02:05 --> 02:06]: 入ってる。切れてます。
[02:06 --> 02:07]: 切れてる。
[02:11 --> 02:15]: これもついてないです。コンセントが刺さってないところです。
[02:16 --> 02:17]: あ、本当だ。
[02:17 --> 02:19]: コンセントさして。
[02:19 --> 02:21]: 来た方がいい。
[02:21 --> 02:24]: で、ちょっと注意が。
[02:24 --> 02:25]: 入れる前に。
[02:25 --> 02:29]: ここは必ず、あ、外してください。
[02:29 --> 02:31]: 入れる前にお願いします。
[02:31 --> 02:33]: 外してたら、どっか置いてる。
[02:33 --> 02:35]: はい。
[02:35 --> 02:36]: で、電気に入れると。
[02:36 --> 02:37]: はい。
[02:37 --> 02:40]: これで、電源。
[02:40 --> 02:42]: あ、これついた。
[02:42 --> 02:43]: はい。
[02:44 --> 02:45]: じゃあ、戻って。
[02:45 --> 02:46]: はい。
[02:46 --> 02:49]: はい。じゃあ、入れます。
[02:49 --> 02:53]: Zスーツ。はい。
[02:53 --> 02:54]: 起動します。
[02:57 --> 03:00]: 今すぐ、開始。
[03:00 --> 03:04]: なるべく気に入ったことがあったら、発音してもらって。
[03:04 --> 03:05]: はい。
[03:05 --> 03:07]: なるべくお願いします。
[03:07 --> 03:08]: はい。
[03:08 --> 03:11]: 開始をクリックしました。
[03:11 --> 03:13]: 全体1200プラスの画像。
[03:13 --> 03:14]: はい。
[03:15 --> 03:22]: 新しいプロジェクトを始める。
[03:22 --> 03:23]: はい。
[03:23 --> 03:25]: ファイルを加える。
[03:25 --> 03:28]: はい。
[03:28 --> 03:35]: で、このデータが、こっちに。
[03:35 --> 03:36]: この中に入ってると。
[03:36 --> 03:40]: というので、ここにさせてもらって。
[03:40 --> 03:49]: はい。
[03:55 --> 03:57]: メモの注文をする。
[03:57 --> 03:58]: はい。
[03:58 --> 04:00]: とっての入でいい。
[04:00 --> 04:02]: あった。
[04:02 --> 04:05]: とっての入。はい。
[04:05 --> 04:07]: 可愛いのが出てきた。
[04:07 --> 04:08]: はい。
[04:08 --> 04:11]: まず、3Dモデルをクリックして、真色にしますと。
[04:11 --> 04:13]: クリックした。
[04:13 --> 04:16]: 真色にした。
[04:16 --> 04:19]: 必要に応じてリサイズなど。
[04:19 --> 04:21]: いいのかな。
[04:21 --> 04:27]: 印刷設定
[04:27 --> 04:33]: 下側の印刷設定をクリックします
[04:33 --> 04:40]: 通常設定にします
[04:40 --> 04:46]: フィラメントの素材を選択
[05:10 --> 05:12]: 付け方は自由です
[05:12 --> 05:15]: アプローチが付加されている角度は30度から40度と推奨です
[05:16 --> 05:19]: 付け方は自由です
[05:19 --> 05:22]: 付加される角度は何ですか?
[05:22 --> 05:24]: 付加される角度?
[05:24 --> 05:29]: 何だろう?
[05:29 --> 05:38]: 周りの印刷設定をクリックすると、パリパリと印刷が取れるようになります
[05:38 --> 05:41]: 説明通りにやると良いでしょう
[05:41 --> 05:45]: レイヤーの厚みを変えます
[05:45 --> 05:47]: 説明通りにやると良いでしょう
[05:47 --> 05:50]: これは意図して書いています
[05:50 --> 05:52]: 19の方が良いの?
[05:52 --> 05:57]: レイヤーの厚さを3Dプリントして線で重ねていく
[05:57 --> 06:02]: 1個の線の厚さを0.19でやります
[06:02 --> 06:04]: ちょっと粗めになります
[06:04 --> 06:08]: 0.19でやると細めになって粗くならない
[06:08 --> 06:10]: そうなると時間がかかる
[06:10 --> 06:14]: 時間短縮のために厚めにします
[06:14 --> 06:15]: 0.19?
[06:15 --> 06:15]: はい
[06:15 --> 06:18]: 1.19で50分くらいかかったの?
[06:18 --> 06:19]: そうです
[06:19 --> 06:23]: 0.14になると1時間20分くらいかかります
[06:23 --> 06:25]: だいぶ変わりますね
[06:25 --> 06:27]: そんなかかるの?
[06:27 --> 06:28]: はい
[06:28 --> 06:31]: 重点密度もそのままで良いと
[06:31 --> 06:32]: はいOKです
[06:32 --> 06:36]: 壁の厚みの確認
[06:36 --> 06:37]: はい
[06:45 --> 06:58]: ,3Dプリンターの厚みをチェックしてもらうと大丈夫です
[06:58 --> 07:05]: 確認してもらうと大丈夫です
[07:05 --> 07:08]: これで成功したときは大丈夫ですよと
[07:08 --> 07:09]: 完璧
[07:09 --> 07:10]: はい
[07:10 --> 07:12]: プレビューボタンをクリックします
[07:12 --> 07:13]: OKです
[07:14 --> 07:21]: では straightforward
[07:21 --> 07:22]: なるほど
[07:22 --> 07:23]:  tenth
[07:23 --> 07:24]:  sekarang
[07:24 --> 07:25]: かなり長くて
[07:25 --> 07:26]: 3時間で
[07:26 --> 07:27]: まずを測る
[07:27 --> 07:28]: まず Weil
[07:28 --> 07:29]:  submitted
[07:29 --> 07:30]: 分ika
[07:30 --> 07:31]:  homem
[07:31 --> 07:34]: 問題なさす
[07:34 --> 07:35]: すごい
[07:35 --> 07:36]: 本当
[07:36 --> 07:41]: 早اض
[07:41 --> 07:42]: ries
[07:42 --> 07:43]: そうです
[07:43 --> 07:51]: いいえこれ中こんなになってんだ
[07:51 --> 07:53]: これはこうやって完成できますようだと思います
[07:53 --> 07:55]: いいえ
[07:55 --> 07:57]: おもろ
[07:57 --> 08:00]: はい
[08:00 --> 08:04]: ラフトはサポートの表示表示切り替えてモデルの造形を確認
[08:04 --> 08:07]: OKだね
[08:07 --> 08:09]: 下のは何なんだ
[08:09 --> 08:12]: 下のはアドレスパリパリパリって通るやつ
[08:12 --> 08:17]: はい
[08:17 --> 08:20]: はいOKです
[08:20 --> 08:22]: データも書き出してみます
[08:22 --> 08:29]: 差し入れておいてください
[08:29 --> 08:30]: いいのかな
[08:30 --> 08:34]: これをエクスポートする
[08:37 --> 08:37]: いいんだよね
[08:39 --> 08:42]: ん?
[08:42 --> 08:44]: これは
[08:44 --> 08:46]: あ違うこれか
[08:46 --> 08:47]: そうです
[08:47 --> 08:49]: これを引き抜き
[08:49 --> 08:51]: え?
[08:53 --> 08:55]: 何か
[08:55 --> 08:57]: 何も
[08:57 --> 08:59]: いやなんか
[08:59 --> 09:03]: なんかいつもUSBって外すときさいいですかっていう
[09:03 --> 09:04]: あー
[09:04 --> 09:05]: 取り出しを押すじゃん
[09:05 --> 09:06]: なんか嫌な感じ
